reference_type,metric,expected_direction,scenes,mean_spearman,spearman_expected_sign,mean_pearson,pearson_expected_sign,best_match
colmap_sparse_full_scene,accuracy_mean_norm,negative,13,-0.01978,7/13,-0.06833,9/13,1/13
colmap_sparse_full_scene,accuracy_p90_norm,negative,13,-0.002198,7/13,0.03464,6/13,0/13
colmap_sparse_full_scene,chamfer_l1_norm,negative,13,-0.041758,8/13,-0.108273,9/13,1/13
colmap_sparse_full_scene,chamfer_l2_norm_sq,negative,13,0.134066,6/13,0.119719,6/13,2/13
colmap_sparse_full_scene,completeness_mean_norm,negative,13,-0.120879,7/13,-0.146415,9/13,3/13
colmap_sparse_full_scene,completeness_p90_norm,negative,13,-0.178022,7/13,-0.178541,8/13,4/13
colmap_sparse_full_scene,fscore_tau0p005,positive,13,0.032967,7/13,0.059262,8/13,1/13
colmap_sparse_full_scene,fscore_tau0p01,positive,13,0.046154,7/13,0.043751,6/13,1/13
colmap_sparse_full_scene,fscore_tau0p02,positive,13,-0.032967,6/13,0.005496,6/13,0/13
colmap_sparse_full_scene,precision_tau0p005,positive,13,-0.006593,7/13,0.021077,8/13,1/13
colmap_sparse_full_scene,precision_tau0p01,positive,13,0.092404,7/13,0.028787,7/13,2/13
colmap_sparse_full_scene,precision_tau0p02,positive,13,0.041758,6/13,0.038469,6/13,0/13
colmap_sparse_full_scene,recall_tau0p005,positive,13,0.12951,6/13,0.156469,6/13,3/13
colmap_sparse_full_scene,recall_tau0p01,positive,13,0.159429,7/13,0.170391,8/13,3/13
colmap_sparse_full_scene,recall_tau0p02,positive,13,-0.098996,4/13,-0.007084,7/13,2/13
fastgs_full_train_images4,accuracy_mean_norm,negative,1,-0.485714,1/1,-0.32581,1/1,1/1
fastgs_full_train_images4,accuracy_p90_norm,negative,1,-0.771429,1/1,-0.849052,1/1,0/1
fastgs_full_train_images4,chamfer_l1_norm,negative,1,-0.485714,1/1,-0.115824,1/1,1/1
fastgs_full_train_images4,chamfer_l2_norm_sq,negative,1,0.028571,0/1,0.326898,0/1,1/1
fastgs_full_train_images4,completeness_mean_norm,negative,1,0.428571,0/1,0.300178,0/1,0/1
fastgs_full_train_images4,completeness_p90_norm,negative,1,0.257143,0/1,0.175785,0/1,0/1
fastgs_full_train_images4,fscore_tau0p005,positive,1,0.771429,1/1,0.901346,1/1,0/1
fastgs_full_train_images4,fscore_tau0p01,positive,1,0.428571,1/1,0.435529,1/1,0/1
fastgs_full_train_images4,fscore_tau0p02,positive,1,0.314286,1/1,0.135686,1/1,0/1
fastgs_full_train_images4,precision_tau0p005,positive,1,0.885714,1/1,0.88481,1/1,1/1
fastgs_full_train_images4,precision_tau0p01,positive,1,0.657143,1/1,0.841103,1/1,0/1
fastgs_full_train_images4,precision_tau0p02,positive,1,0.231908,1/1,0.325572,1/1,0/1
fastgs_full_train_images4,recall_tau0p005,positive,1,-0.257143,0/1,-0.141234,0/1,0/1
fastgs_full_train_images4,recall_tau0p01,positive,1,-0.257143,0/1,-0.282586,0/1,0/1
fastgs_full_train_images4,recall_tau0p02,positive,1,-0.173931,0/1,-0.153602,0/1,0/1
