dataset,reference_type,method,runs,accuracy_mean_norm_mean,accuracy_p90_norm_mean,completeness_mean_norm_mean,completeness_p90_norm_mean,chamfer_l1_norm_mean,chamfer_l2_norm_sq_mean,precision_tau0p005_mean,recall_tau0p005_mean,fscore_tau0p005_mean,precision_tau0p01_mean,recall_tau0p01_mean,fscore_tau0p01_mean,precision_tau0p02_mean,recall_tau0p02_mean,fscore_tau0p02_mean
db,colmap_sparse_full_scene,random_seed000,2,0.00317524,0.00571872,0.00130228,0.00173919,0.00223876,0.00019185,0.8868125,0.9909375,0.93594916,0.9541875,0.995625,0.97440467,0.9825,0.9976875,0.99003478
db,colmap_sparse_full_scene,random_seed001,2,0.00278852,0.00563252,0.00131056,0.00173265,0.00204954,0.00011858,0.8890625,0.9894375,0.93649915,0.9555625,0.995375,0.97500809,0.988125,0.99775,0.99291392
db,colmap_sparse_full_scene,random_seed002,2,0.00360539,0.00569574,0.00128252,0.00184359,0.00244396,0.00023636,0.883875,0.9915,0.93456296,0.9489375,0.996125,0.97193936,0.9786875,0.99775,0.98811775
db,colmap_sparse_full_scene,random_seed003,2,0.0027997,0.00562754,0.00123862,0.00176778,0.00201916,0.00011831,0.8886875,0.991375,0.93706924,0.9569375,0.9959375,0.97598558,0.9891875,0.998,0.99357385
db,colmap_sparse_full_scene,random_seed004,2,0.00333508,0.00590141,0.00131256,0.00177479,0.00232382,0.00019493,0.88175,0.9885625,0.93200774,0.9519375,0.996,0.97342662,0.98175,0.9978125,0.98971487
db,colmap_sparse_full_scene,uniform,2,0.00322812,0.00626714,0.00131008,0.0017806,0.0022691,0.0001341,0.8728125,0.9921875,0.92853336,0.94775,0.9963125,0.97137361,0.9801875,0.9979375,0.98898208
mipnerf360,colmap_sparse_full_scene,random_seed000,9,0.0083554,0.0186014,0.00178356,0.00395817,0.00506948,0.00042029,0.713125,0.92465278,0.8024783,0.82897222,0.97679167,0.89555905,0.90991667,0.99529167,0.95018791
mipnerf360,colmap_sparse_full_scene,random_seed001,9,0.00949984,0.0187047,0.0017568,0.00391847,0.00562832,0.00074442,0.71136111,0.92744444,0.80249382,0.82825,0.97979167,0.89668522,0.90976389,0.99509722,0.95013855
mipnerf360,colmap_sparse_full_scene,random_seed002,9,0.00822967,0.01723063,0.00184368,0.00395578,0.00503668,0.00046537,0.71086111,0.92690278,0.80145377,0.82772222,0.97679167,0.89452893,0.91054167,0.99366667,0.94959201
mipnerf360,colmap_sparse_full_scene,random_seed003,9,0.00905828,0.01765123,0.00186589,0.00403893,0.00546209,0.00093946,0.737375,0.92322222,0.81803281,0.84729167,0.97518056,0.90597755,0.91913889,0.99334722,0.95448567
mipnerf360,colmap_sparse_full_scene,random_seed004,9,0.00985219,0.02211549,0.00185252,0.00430123,0.00585236,0.00066732,0.69488889,0.92168056,0.78874056,0.81272222,0.97529167,0.88504631,0.89948611,0.99334722,0.94340041
mipnerf360,colmap_sparse_full_scene,uniform,9,0.00918727,0.02136702,0.00176831,0.00390141,0.00547779,0.00094539,0.70834722,0.92988889,0.8009191,0.82193056,0.97976389,0.89261657,0.90191667,0.99334722,0.94488023
mipnerf360,fastgs_full_train_images4,random_seed000,1,0.00220721,0.00513099,0.00192716,0.00459763,0.00206718,4.188e-05,0.897125,0.91375,0.90536119,0.96975,0.98125,0.97546611,0.995375,0.99625,0.99581231
mipnerf360,fastgs_full_train_images4,random_seed001,1,0.00186655,0.00449146,0.00204122,0.00478407,0.00195388,2.705e-05,0.91625,0.90675,0.91147525,0.977,0.976,0.97649974,0.996625,0.996,0.9963124
mipnerf360,fastgs_full_train_images4,random_seed002,1,0.00221584,0.005023,0.00189752,0.00454375,0.00205668,3.118e-05,0.89975,0.91425,0.90694205,0.971,0.981375,0.97615993,0.9915,0.99675,0.99411807
mipnerf360,fastgs_full_train_images4,random_seed003,1,0.00245008,0.00447827,0.00218007,0.00490563,0.00231508,0.00023095,0.914625,0.902375,0.90845871,0.977875,0.968375,0.97310181,0.995375,0.99175,0.99355919
mipnerf360,fastgs_full_train_images4,random_seed004,1,0.00213673,0.00504828,0.00201294,0.00472007,0.00207483,6.075e-05,0.8985,0.9095,0.90396654,0.968375,0.979625,0.97396751,0.996875,0.996,0.99643731
mipnerf360,fastgs_full_train_images4,uniform,1,0.00216749,0.00476884,0.00190088,0.0044613,0.00203419,0.0001174,0.908375,0.919125,0.91371838,0.975,0.98325,0.97910762,0.99525,0.996875,0.99606184
