scene_id,dataset,method,image_count,reference_type,register_mean_cosine,psnr,ssim,lpips,reference_scale,subset_points_raw,reference_points_raw,subset_points_sampled,reference_points_sampled,accuracy_mean_norm,accuracy_p90_norm,completeness_mean_norm,completeness_p90_norm,chamfer_l1_norm,chamfer_l2_norm_sq,precision_tau0p005,recall_tau0p005,fscore_tau0p005,precision_tau0p01,recall_tau0p01,fscore_tau0p01,precision_tau0p02,recall_tau0p02,fscore_tau0p02
db_drjohnson,db,random_seed000,46,colmap_sparse_full_scene,0.974672,22.286993,0.693717,0.303171,83.672295,119602,80861,8000,8000,0.00344293,0.00497092,0.00119792,0.00173997,0.00232043,0.00025499,0.901,0.994,0.94521794,0.971,0.997375,0.9840108,0.9845,0.998,0.99120404
db_drjohnson,db,random_seed001,46,colmap_sparse_full_scene,0.988521,22.760183,0.721991,0.283457,83.672295,144064,80861,8000,8000,0.00273907,0.00478396,0.00124206,0.0018052,0.00199057,7.75441e-05,0.908125,0.993625,0.94895302,0.972125,0.99775,0.98477083,0.9895,0.998125,0.99379379
db_drjohnson,db,random_seed002,46,colmap_sparse_full_scene,0.984347,21.937275,0.693005,0.317065,83.672295,122347,80861,8000,8000,0.00446917,0.00513498,0.00123357,0.00194859,0.00285137,0.0003952528,0.89625,0.993,0.94214768,0.95875,0.9975,0.97774121,0.973125,0.998125,0.98546647
db_drjohnson,db,random_seed003,46,colmap_sparse_full_scene,0.986509,23.216753,0.727392,0.27526,83.672295,114204,80861,8000,8000,0.00271207,0.00458944,0.00119096,0.00183113,0.00195151,5.80602e-05,0.914125,0.994,0.9523907,0.973875,0.997625,0.98560695,0.988125,0.998125,0.99309983
db_drjohnson,db,random_seed004,46,colmap_sparse_full_scene,0.984992,21.9359,0.687657,0.310763,83.672295,126006,80861,8000,8000,0.0036792,0.00491471,0.0012361,0.0018609,0.00245765,0.000217669,0.90275,0.99175,0.94515947,0.9665,0.997875,0.98193694,0.98,0.99825,0.98904082
db_drjohnson,db,uniform,46,colmap_sparse_full_scene,0.994785,22.748913,0.707712,0.29359,83.672295,122800,80861,8000,8000,0.00354857,0.00512683,0.00128358,0.00187227,0.00241607,0.0001716079,0.89525,0.99275,0.94148245,0.96275,0.997625,0.97987729,0.9785,0.998,0.98815381
db_playroom,db,random_seed000,40,colmap_sparse_full_scene,0.92243,22.120363,0.756331,0.254317,116.463402,79122,37005,8000,8000,0.00290754,0.00646651,0.00140664,0.00173841,0.00215709,0.0001287047,0.872625,0.987875,0.92668038,0.937375,0.993875,0.96479853,0.9805,0.997375,0.98886551
db_playroom,db,random_seed001,40,colmap_sparse_full_scene,0.997179,21.933681,0.77213,0.243812,116.463402,81800,37005,8000,8000,0.00283796,0.00648107,0.00137906,0.0016601,0.00210851,0.0001596197,0.87,0.98525,0.92404528,0.939,0.993,0.96524534,0.98675,0.997375,0.99203405
db_playroom,db,random_seed002,40,colmap_sparse_full_scene,0.98949,23.411205,0.792273,0.219143,116.463402,82410,37005,8000,8000,0.00274161,0.00625649,0.00133147,0.00173859,0.00203654,7.74606e-05,0.8715,0.99,0.92697824,0.939125,0.99475,0.96613752,0.98425,0.997375,0.99076903
db_playroom,db,random_seed003,40,colmap_sparse_full_scene,0.993413,22.868956,0.779255,0.240075,116.463402,78884,37005,8000,8000,0.00288733,0.00666564,0.00128628,0.00170443,0.00208681,0.0001785658,0.86325,0.98875,0.92174777,0.94,0.99425,0.96636422,0.99025,0.997875,0.99404788
db_playroom,db,random_seed004,40,colmap_sparse_full_scene,0.979455,23.314613,0.791919,0.231421,116.463402,78319,37005,8000,8000,0.00299096,0.0068881,0.00138902,0.00168868,0.00218999,0.0001721839,0.86075,0.985375,0.91885602,0.937375,0.994125,0.96491631,0.9835,0.997375,0.99038891
db_playroom,db,uniform,40,colmap_sparse_full_scene,0.976614,23.74058,0.799858,0.223649,116.463402,80613,37005,8000,8000,0.00290766,0.00740744,0.00133658,0.00168892,0.00212212,9.65958e-05,0.850375,0.991625,0.91558427,0.93275,0.995,0.96286993,0.981875,0.997875,0.98981035
mipnerf360_bicycle,mipnerf360,random_seed000,34,colmap_sparse_full_scene,0.987569,20.565269,0.51082,0.371217,178.615005,633750,54275,8000,8000,0.00805311,0.01661502,0.00230958,0.00549095,0.00518135,0.0002180645,0.606625,0.88425,0.71958837,0.784125,0.966625,0.86586301,0.926375,0.99575,0.95981053
mipnerf360_bicycle,mipnerf360,random_seed001,34,colmap_sparse_full_scene,0.99871,20.106337,0.469851,0.384242,178.615005,719398,54275,8000,8000,0.00813321,0.01812217,0.00231185,0.00572979,0.00522253,0.000163241,0.5805,0.875,0.69795603,0.764,0.97025,0.8548606,0.916875,0.995125,0.95439878
mipnerf360_bicycle,mipnerf360,random_seed002,34,colmap_sparse_full_scene,0.990638,20.285423,0.49023,0.377103,178.615005,701179,54275,8000,8000,0.00751644,0.01741648,0.00294703,0.00602686,0.00523173,0.0002750245,0.603125,0.872375,0.71318356,0.78225,0.9535,0.85942719,0.9165,0.986125,0.95003857
mipnerf360_bicycle,mipnerf360,random_seed003,34,colmap_sparse_full_scene,0.989619,20.841036,0.513461,0.364404,178.615005,642390,54275,8000,8000,0.00737196,0.0178023,0.0022848,0.00558855,0.00482838,0.0001900983,0.64675,0.883125,0.74667681,0.807,0.964,0.87854094,0.91725,0.99425,0.95419912
mipnerf360_bicycle,mipnerf360,random_seed004,34,colmap_sparse_full_scene,0.983359,18.96283,0.419531,0.41563,178.615005,741775,54275,8000,8000,0.0086634,0.01792087,0.00229244,0.00541298,0.00547792,0.0002018219,0.553125,0.882625,0.68006541,0.744375,0.9775,0.84515608,0.91675,0.997375,0.95536449
