scene_id,metric,n,spearman,pearson,best_cosine_method,best_metric_method
db_drjohnson,psnr,6,0.542857,0.419838,uniform,random_seed003
db_drjohnson,ssim,6,0.542857,0.449133,uniform,random_seed003
db_drjohnson,lpips,6,-0.6,-0.36277,uniform,random_seed003
db_playroom,psnr,6,-0.371429,0.292701,random_seed001,uniform
db_playroom,ssim,6,-0.085714,0.587767,random_seed001,uniform
db_playroom,lpips,6,-0.028571,-0.546097,random_seed001,random_seed002
mipnerf360_bicycle,psnr,6,-0.028571,0.232224,random_seed001,random_seed003
mipnerf360_bicycle,ssim,6,-0.028571,0.159508,random_seed001,random_seed003
mipnerf360_bicycle,lpips,6,0.028571,-0.277357,random_seed001,random_seed003
mipnerf360_bonsai,psnr,6,0.085714,0.305752,random_seed001,uniform
mipnerf360_bonsai,ssim,6,-0.085714,0.159841,random_seed001,uniform
mipnerf360_bonsai,lpips,6,0.142857,-0.149304,random_seed001,uniform
mipnerf360_counter,psnr,6,0.085714,0.365958,random_seed001,uniform
mipnerf360_counter,ssim,6,0.2,0.364312,random_seed001,uniform
mipnerf360_counter,lpips,6,-0.314286,-0.371654,random_seed001,uniform
mipnerf360_flowers,psnr,6,-0.028571,0.375783,random_seed001,random_seed002
mipnerf360_flowers,ssim,6,-0.028571,0.277874,random_seed001,random_seed002
mipnerf360_flowers,lpips,6,-0.028571,-0.36813,random_seed001,random_seed002
mipnerf360_garden,psnr,6,0.942857,0.795538,uniform,uniform
mipnerf360_garden,ssim,6,0.714286,0.643683,uniform,uniform
mipnerf360_garden,lpips,6,-0.885714,-0.808305,uniform,uniform
mipnerf360_kitchen,psnr,6,0.428571,0.468354,uniform,uniform
mipnerf360_kitchen,ssim,6,0.657143,0.71068,uniform,uniform
mipnerf360_kitchen,lpips,6,-0.828571,-0.773857,uniform,uniform
mipnerf360_room,psnr,6,0.257143,0.533426,uniform,random_seed000
mipnerf360_room,ssim,6,-0.085714,0.365096,uniform,random_seed000
mipnerf360_room,lpips,6,-0.2,-0.714338,uniform,random_seed000
mipnerf360_stump,psnr,6,0.371429,0.041301,uniform,uniform
mipnerf360_stump,ssim,6,0.485714,0.349528,uniform,random_seed004
mipnerf360_stump,lpips,6,-0.485714,-0.296612,uniform,random_seed004
mipnerf360_treehill,psnr,6,-0.028571,0.038336,uniform,random_seed004
mipnerf360_treehill,ssim,6,0.314286,0.339326,uniform,random_seed002
mipnerf360_treehill,lpips,6,0.028571,-0.3967,uniform,random_seed003
tandt_train,psnr,6,0.142857,-0.106438,uniform,random_seed004
tandt_train,ssim,6,0.085714,0.370111,uniform,uniform
tandt_train,lpips,6,-0.257143,-0.356183,uniform,uniform
tandt_truck,psnr,6,0.314286,0.054498,uniform,uniform
tandt_truck,ssim,6,0.371429,0.262059,uniform,uniform
tandt_truck,lpips,6,-0.314286,-0.32861,uniform,uniform
