scene_id,method,image_count,register_mean_cosine,psnr,ssim,lpips
db_drjohnson,random_seed000,46,0.974672,22.286993,0.693717,0.303171
db_drjohnson,random_seed001,46,0.988521,22.760183,0.721991,0.283457
db_drjohnson,random_seed002,46,0.984347,21.937275,0.693005,0.317065
db_drjohnson,random_seed003,46,0.986509,23.216753,0.727392,0.27526
db_drjohnson,random_seed004,46,0.984992,21.9359,0.687657,0.310763
db_drjohnson,uniform,46,0.994785,22.748913,0.707712,0.29359
db_playroom,random_seed000,40,0.92243,22.120363,0.756331,0.254317
db_playroom,random_seed001,40,0.997179,21.933681,0.77213,0.243812
db_playroom,random_seed002,40,0.98949,23.411205,0.792273,0.219143
db_playroom,random_seed003,40,0.993413,22.868956,0.779255,0.240075
db_playroom,random_seed004,40,0.979455,23.314613,0.791919,0.231421
db_playroom,uniform,40,0.976614,23.74058,0.799858,0.223649
mipnerf360_bicycle,random_seed000,34,0.987569,20.565269,0.51082,0.371217
mipnerf360_bicycle,random_seed001,34,0.99871,20.106337,0.469851,0.384242
mipnerf360_bicycle,random_seed002,34,0.990638,20.285423,0.49023,0.377103
mipnerf360_bicycle,random_seed003,34,0.989619,20.841036,0.513461,0.364404
mipnerf360_bicycle,random_seed004,34,0.983359,18.96283,0.419531,0.41563
mipnerf360_bicycle,uniform,34,0.996257,19.775152,0.466467,0.388858
mipnerf360_bonsai,random_seed000,51,0.961888,27.937513,0.906525,0.146475
mipnerf360_bonsai,random_seed001,51,0.99795,27.786301,0.903937,0.149501
mipnerf360_bonsai,random_seed002,51,0.969989,27.67189,0.908474,0.148431
mipnerf360_bonsai,random_seed003,51,0.986276,26.899822,0.888649,0.162089
mipnerf360_bonsai,random_seed004,51,0.971542,27.43549,0.892653,0.150779
mipnerf360_bonsai,uniform,51,0.996757,28.988317,0.916686,0.135639
mipnerf360_counter,random_seed000,42,0.981133,24.696026,0.822051,0.189158
mipnerf360_counter,random_seed001,42,0.998243,24.152718,0.811526,0.198917
mipnerf360_counter,random_seed002,42,0.981754,24.579723,0.827256,0.18663
mipnerf360_counter,random_seed003,42,0.97913,23.105387,0.786754,0.213479
mipnerf360_counter,random_seed004,42,0.971612,24.589781,0.824037,0.192134
mipnerf360_counter,uniform,42,0.998071,25.650854,0.852614,0.170977
mipnerf360_flowers,random_seed000,31,0.983067,16.368181,0.371326,0.430561
mipnerf360_flowers,random_seed001,31,0.997643,15.976073,0.344582,0.445599
mipnerf360_flowers,random_seed002,31,0.990401,16.59837,0.379996,0.421708
mipnerf360_flowers,random_seed003,31,0.994057,16.162481,0.363177,0.429152
