dataset,method,runs,depth_absrel_mean_mean,depth_absrel_median_mean,depth_log_rmse_mean,pose_center_rmse_norm_mean,pose_center_median_norm_mean,pose_center_p90_norm_mean,pose_rotation_mean_deg_mean,pose_rotation_median_deg_mean,pose_fov_abs_mean_mean,pointmap_l1_norm_mean,pointmap_rmse_norm_mean,pointmap_median_norm_mean,pointmap_p90_norm_mean
db,random_seed000,2,0.00876926,0.00565326,0.01560176,0.01421512,0.01100536,0.02190818,1.9764204,1.61001677,0.01171977,0.01710342,0.01923644,0.0161165,0.02713252
db,random_seed001,2,0.00748791,0.00436545,0.01364215,0.01083,0.00681689,0.01762198,0.91007472,0.66722752,0.00759982,0.00819511,0.00968,0.00681257,0.0145791
db,random_seed002,2,0.00618274,0.00381472,0.01129353,0.01072303,0.00608669,0.0153824,1.21513355,0.7338733,0.00869087,0.01381695,0.0162984,0.01215451,0.02340282
db,random_seed003,2,0.00720424,0.0038696,0.01446244,0.00783917,0.00499512,0.0113775,0.78715668,0.71025556,0.00810393,0.00930136,0.01108474,0.00837344,0.01607386
db,random_seed004,2,0.00602908,0.00373375,0.01127209,0.00848334,0.00579665,0.01091589,0.77409393,0.724247,0.00775168,0.01474489,0.01679119,0.01430012,0.02371881
db,uniform,2,0.00636045,0.00373405,0.01187918,0.00700362,0.00465847,0.01042976,0.87508209,0.76467139,0.00565314,0.0085317,0.00976695,0.00781705,0.01405252
mipnerf360,random_seed000,9,0.01889006,0.00710958,0.04972956,0.00564778,0.00420086,0.00801775,0.58460835,0.54489276,0.00486108,0.00307094,0.00718758,0.00185311,0.00527094
mipnerf360,random_seed001,9,0.01513467,0.00547667,0.03967428,0.00326194,0.00205097,0.00408466,0.31009574,0.28704882,0.00440024,0.00202379,0.00534442,0.00100541,0.00376757
mipnerf360,random_seed002,9,0.01859441,0.00734053,0.04612872,0.00491282,0.00337135,0.00725835,0.48005995,0.41868682,0.00513602,0.00248568,0.00618261,0.00124506,0.00466291
mipnerf360,random_seed003,9,0.01576654,0.00500652,0.0432176,0.00441884,0.0029464,0.00608916,0.39688399,0.32782693,0.00467205,0.00232566,0.0058292,0.0012123,0.00407718
mipnerf360,random_seed004,9,0.01936677,0.00731055,0.04889711,0.00390237,0.00296653,0.00585803,0.4021432,0.36692724,0.00438934,0.00287586,0.00656109,0.00153768,0.00531584
mipnerf360,uniform,9,0.01594637,0.00571561,0.04207473,0.00360907,0.00237407,0.0047857,0.40243208,0.37313543,0.00465801,0.00191849,0.00560671,0.00073518,0.003948
tandt,random_seed000,2,0.01610826,0.00456833,0.0457485,0.00196264,0.001537,0.00298274,0.28820566,0.25109564,0.00418316,0.00188526,0.0041953,0.00127483,0.00220253
tandt,random_seed001,2,0.01516065,0.00421109,0.04242773,0.00160107,0.001096,0.00247126,0.19526702,0.16931171,0.00350737,0.00091953,0.00346716,0.00025154,0.00148246
tandt,random_seed002,2,0.01560275,0.00417006,0.0444267,0.00188105,0.00143404,0.00259334,0.18975428,0.14303509,0.00310061,0.00119916,0.00399993,0.00049067,0.00184688
tandt,random_seed003,2,0.01642216,0.00395824,0.04737125,0.00189885,0.00125259,0.00314401,0.21713858,0.18243929,0.00331771,0.0013099,0.00429383,0.00061551,0.00175588
tandt,random_seed004,2,0.0180567,0.00479766,0.05353534,0.00248205,0.00157234,0.0026511,0.31287506,0.26278119,0.00697493,0.00162747,0.00477323,0.00089247,0.00223649
tandt,uniform,2,0.01314317,0.00328679,0.04166664,0.00129586,0.0009072,0.00201483,0.18843891,0.16151493,0.00257567,0.00074319,0.00314993,0.00013448,0.0012459
