scene_id,dataset,metric,expected_direction,n,spearman,pearson,best_cosine_method,best_metric_method
db_drjohnson,db,depth_absrel_mean,negative,6,-0.085714,-0.543374,uniform,random_seed004
db_drjohnson,db,depth_absrel_median,negative,6,-0.371429,-0.756328,uniform,random_seed003
db_drjohnson,db,depth_log_rmse,negative,6,0.085714,-0.40218,uniform,random_seed002
db_drjohnson,db,pose_center_rmse_norm,negative,6,-0.428571,-0.27022,uniform,uniform
db_drjohnson,db,pose_center_median_norm,negative,6,-0.428571,-0.585081,uniform,uniform
db_drjohnson,db,pose_center_p90_norm,negative,6,-0.371429,-0.324823,uniform,uniform
db_drjohnson,db,pose_rotation_mean_deg,negative,6,-0.314286,-0.646107,uniform,random_seed004
db_drjohnson,db,pose_rotation_median_deg,negative,6,-0.085714,-0.70565,uniform,random_seed002
db_drjohnson,db,pose_fov_abs_mean,negative,6,-0.771429,-0.913822,uniform,uniform
db_drjohnson,db,pointmap_l1_norm,negative,6,-0.714286,-0.829966,uniform,uniform
db_drjohnson,db,pointmap_rmse_norm,negative,6,-0.714286,-0.834968,uniform,uniform
db_drjohnson,db,pointmap_median_norm,negative,6,-0.714286,-0.835729,uniform,uniform
db_drjohnson,db,pointmap_p90_norm,negative,6,-0.714286,-0.790342,uniform,uniform
db_playroom,db,depth_absrel_mean,negative,6,-0.085714,-0.803063,random_seed001,random_seed002
db_playroom,db,depth_absrel_median,negative,6,0.085714,-0.809924,random_seed001,uniform
db_playroom,db,depth_log_rmse,negative,6,-0.771429,-0.962607,random_seed001,random_seed001
db_playroom,db,pose_center_rmse_norm,negative,6,-0.371429,-0.836356,random_seed001,uniform
db_playroom,db,pose_center_median_norm,negative,6,-0.314286,-0.935434,random_seed001,uniform
db_playroom,db,pose_center_p90_norm,negative,6,-0.371429,-0.890628,random_seed001,random_seed003
db_playroom,db,pose_rotation_mean_deg,negative,6,-0.828571,-0.875251,random_seed001,random_seed001
db_playroom,db,pose_rotation_median_deg,negative,6,-0.828571,-0.961466,random_seed001,random_seed001
db_playroom,db,pose_fov_abs_mean,negative,6,-0.485714,-0.71842,random_seed001,random_seed001
db_playroom,db,pointmap_l1_norm,negative,6,-0.428571,-0.322686,random_seed001,random_seed001
db_playroom,db,pointmap_rmse_norm,negative,6,-0.428571,-0.300887,random_seed001,random_seed001
