scene_id,dataset,method,image_count,common_images,sampled_depth_pixels,sampled_pointmap_points,register_mean_cosine,psnr,ssim,lpips,depth_absrel_mean,depth_absrel_median,depth_log_rmse,depth_scale_median,depth_scale_mad,depth_conf_mean,pose_center_rmse_norm,pose_center_median_norm,pose_center_p90_norm,pose_rotation_mean_deg,pose_rotation_median_deg,pose_fov_abs_mean,pointmap_l1_norm,pointmap_rmse_norm,pointmap_median_norm,pointmap_p90_norm,alignment_scale
db_drjohnson,db,random_seed000,46,46,47104,47104,0.974672,22.286993,0.693717,0.303171,0.00976192,0.00629568,0.01815968,1.11880118,0.01155561,14.48444037,0.01042594,0.00784837,0.01696649,1.49927104,1.27949617,0.01318797,0.01874157,0.0209057,0.01795934,0.02944256,1.12630132
db_drjohnson,db,random_seed001,46,46,47104,47104,0.988521,22.760183,0.721991,0.283457,0.00893769,0.00505303,0.01708789,0.97800612,0.01042813,11.86931061,0.01396846,0.00788293,0.02248048,1.15627055,0.70169014,0.00891952,0.00945409,0.01154025,0.00722655,0.01785917,0.98192141
db_drjohnson,db,random_seed002,46,46,47104,47104,0.984347,21.937275,0.693005,0.317065,0.00735917,0.00467925,0.01231074,1.03112233,0.01145399,15.8244484,0.00866956,0.00533826,0.01467088,1.0085611,0.6855242,0.00945808,0.00793664,0.00976373,0.00716179,0.01435004,1.03737141
db_drjohnson,db,random_seed003,46,46,47104,47104,0.986509,23.216753,0.727392,0.27526,0.00847774,0.00435765,0.01835276,0.97186518,0.00884363,14.35981935,0.00714672,0.00489752,0.01189045,0.87681235,0.76034286,0.00734421,0.00706124,0.00881522,0.00622717,0.0117092,0.96917743
db_drjohnson,db,random_seed004,46,46,47104,47104,0.984992,21.9359,0.687657,0.310763,0.00678651,0.00441158,0.0123204,1.09662151,0.00928414,15.33676616,0.0075723,0.00514126,0.01042478,0.8169386,0.767632,0.0067874,0.01525165,0.01752253,0.01456311,0.02611163,1.09831751
db_drjohnson,db,uniform,46,46,47104,47104,0.994785,22.748913,0.707712,0.29359,0.00739553,0.00451988,0.01297078,1.02697241,0.00597465,14.72179765,0.00647929,0.00429827,0.00919722,0.9780156,0.82793884,0.00433748,0.00564287,0.00675935,0.00483442,0.00997696,1.02225187
db_playroom,db,random_seed000,40,40,40960,40960,0.92243,22.120363,0.756331,0.254317,0.00777659,0.00501085,0.01304384,1.10630327,0.013008,16.04684896,0.0180043,0.01416236,0.02684987,2.45356975,1.94053737,0.01025156,0.01546526,0.01756718,0.01427366,0.02482248,1.10478923
db_playroom,db,random_seed001,40,40,40960,40960,0.997179,21.933681,0.77213,0.243812,0.00603813,0.00367788,0.01019642,0.95466146,0.00554585,17.48763963,0.00769154,0.00575085,0.01276347,0.6638789,0.63276491,0.00628011,0.00693613,0.00781975,0.0063986,0.01129902,0.95469593
db_playroom,db,random_seed002,40,40,40960,40960,0.98949,23.411205,0.792273,0.219143,0.00500631,0.00295018,0.01027632,0.89329562,0.00636426,16.43143588,0.0127765,0.00683513,0.01609392,1.421706,0.7822224,0.00792365,0.01969726,0.02283307,0.01714722,0.0324556,0.88761491
db_playroom,db,random_seed003,40,40,40960,40960,0.993413,22.868956,0.779255,0.240075,0.00593074,0.00338156,0.01057212,0.92417559,0.00751701,16.85142932,0.00853161,0.00509273,0.01086456,0.69750101,0.66016826,0.00886364,0.01154149,0.01335425,0.0105197,0.02043853,0.92256084
db_playroom,db,random_seed004,40,40,40960,40960,0.979455,23.314613,0.791919,0.231421,0.00527164,0.00305591,0.01022378,0.90917844,0.00567025,17.06021106,0.00939438,0.00645205,0.011407,0.73124926,0.68086199,0.00871596,0.01423813,0.01605985,0.01403712,0.02132598,0.90573075
db_playroom,db,uniform,40,40,40960,40960,0.976614,23.74058,0.799858,0.223649,0.00532536,0.00294821,0.01078758,0.92420059,0.00554979,15.88707309,0.00752795,0.00501866,0.01166229,0.77214857,0.70140395,0.0069688,0.01142053,0.01277455,0.01079969,0.01812809,0.92286494
mipnerf360_bicycle,mipnerf360,random_seed000,34,34,34816,34816,0.987569,20.565269,0.51082,0.371217,0.02914976,0.00910795,0.06795842,0.91241103,0.005474,11.04705642,0.00550126,0.0047814,0.0083004,0.51205512,0.49021248,0.00591382,0.00302095,0.00660594,0.00156853,0.00532364,0.9110093
mipnerf360_bicycle,mipnerf360,random_seed001,34,34,34816,34816,0.99871,20.106337,0.469851,0.384242,0.02474052,0.00681697,0.0567746,1.01955694,0.00247324,9.59551089,0.00347043,0.00172537,0.00301598,0.21569732,0.19664066,0.00348239,0.00198695,0.00531833,0.00058802,0.00453845,1.02076234
mipnerf360_bicycle,mipnerf360,random_seed002,34,34,34816,34816,0.990638,20.285423,0.49023,0.377103,0.02365233,0.00688386,0.05474566,0.9352136,0.00374305,11.02512345,0.00649357,0.00351431,0.00928445,0.49890977,0.38676347,0.00449509,0.0026053,0.00615527,0.00132818,0.00521196,0.93464799
mipnerf360_bicycle,mipnerf360,random_seed003,34,34,34816,34816,0.989619,20.841036,0.513461,0.364404,0.02008603,0.00559548,0.04922058,0.91290981,0.00415635,12.55264516,0.00293434,0.00274542,0.00386581,0.35210965,0.30742948,0.00382897,0.00243751,0.00519405,0.00149072,0.00417536,0.91423607
mipnerf360_bicycle,mipnerf360,random_seed004,34,34,34816,34816,0.983359,18.96283,0.419531,0.41563,0.03042953,0.01248197,0.06574848,1.03726614,0.00652003,8.25343484,0.00423073,0.00295153,0.00640409,0.47839259,0.41106031,0.00430615,0.00251639,0.00663277,0.0008352,0.00552629,1.03178657
mipnerf360_bicycle,mipnerf360,uniform,34,34,34816,34816,0.996257,19.775152,0.466467,0.388858,0.02439954,0.00907152,0.05540724,1.00326735,0.00816071,9.58398153,0.00280778,0.00239485,0.00373297,0.30786139,0.29696494,0.00988454,0.00186177,0.00525957,0.00045815,0.00453991,1.01167874
mipnerf360_bonsai,mipnerf360,random_seed000,51,51,52224,52224,0.961888,27.937513,0.906525,0.146475,0.00685574,0.00346877,0.02202464,1.03794539,0.00244093,10.42071702,0.0034164,0.00271165,0.00529418,0.46597038,0.48096397,0.00252636,0.00200504,0.00562982,0.00157623,0.00284123,1.04458872
mipnerf360_bonsai,mipnerf360,random_seed001,51,51,52224,52224,0.99795,27.786301,0.903937,0.149501,0.00566194,0.00310866,0.01623112,0.99832255,0.00145966,10.87439636,0.00238109,0.00151606,0.00353928,0.37485226,0.32333791,0.00272467,0.00101415,0.0033082,0.00056469,0.00178529,1.00772516
mipnerf360_bonsai,mipnerf360,random_seed002,51,51,52224,52224,0.969989,27.67189,0.908474,0.148431,0.00631901,0.00343938,0.01989547,1.03392482,0.00216722,11.15970795,0.00274016,0.00225707,0.00453081,0.41658561,0.36828135,0.00252628,0.00171876,0.00416711,0.00142228,0.00230674,1.03847413
mipnerf360_bonsai,mipnerf360,random_seed003,51,51,52224,52224,0.986276,26.899822,0.888649,0.162089,0.00680682,0.00371348,0.01708047,1.01585662,0.00174129,10.94907281,0.00226003,0.00175172,0.00328612,0.26625773,0.23121085,0.00236054,0.00170027,0.00313144,0.00128412,0.00254461,1.02480134
mipnerf360_bonsai,mipnerf360,random_seed004,51,51,52224,52224,0.971542,27.43549,0.892653,0.150779,0.00887601,0.00597998,0.01896107,1.03670096,0.00294006,11.16938473,0.00342347,0.00253953,0.00500271,0.35441431,0.31779171,0.00318145,0.00171828,0.00337677,0.001429,0.00245581,1.03316224
mipnerf360_bonsai,mipnerf360,uniform,51,51,52224,52224,0.996757,28.988317,0.916686,0.135639,0.00446891,0.0021731,0.01475086,1.00523973,0.00119615,10.9792341,0.00164023,0.0012881,0.00249553,0.19794454,0.17409786,0.00153556,0.00081401,0.00435004,0.00048617,0.00122929,1.01286508
mipnerf360_counter,mipnerf360,random_seed000,42,42,43008,43008,0.981133,24.696026,0.822051,0.189158,0.0061151,0.00291486,0.01888834,1.06537032,0.00382036,16.11730769,0.00281025,0.00214283,0.00440334,0.35517429,0.35225504,0.00255789,0.00360954,0.00463631,0.00356453,0.0046605,1.06536713
mipnerf360_counter,mipnerf360,random_seed001,42,42,43008,43008,0.998243,24.152718,0.811526,0.198917,0.00555275,0.00228352,0.0167514,0.9753969,0.00213051,15.72075451,0.00192418,0.00113593,0.00273412,0.20664161,0.18619535,0.00279723,0.00166452,0.00290406,0.00136278,0.00224252,0.9736478
mipnerf360_counter,mipnerf360,random_seed002,42,42,43008,43008,0.981754,24.579723,0.827256,0.18663,0.00602019,0.00262085,0.01885661,1.01679027,0.00366843,15.55582287,0.00211634,0.00168547,0.00317953,0.21285804,0.20443821,0.00305677,0.00148721,0.00308371,0.0011002,0.00202285,1.01699443
mipnerf360_counter,mipnerf360,random_seed003,42,42,43008,43008,0.97913,23.105387,0.786754,0.213479,0.00678851,0.00300363,0.02011324,0.9756633,0.00302294,17.15983868,0.00219003,0.00163622,0.0035318,0.27270806,0.24207467,0.00352401,0.00170837,0.00318692,0.00120232,0.00256564,0.97608986
mipnerf360_counter,mipnerf360,random_seed004,42,42,43008,43008,0.971612,24.589781,0.824037,0.192134,0.0072425,0.00312549,0.02063233,1.02154142,0.0025329,15.61704761,0.00190736,0.00140647,0.00264135,0.2225146,0.20377893,0.00325555,0.00154366,0.00358404,0.00113673,0.00199245,1.02283623
mipnerf360_counter,mipnerf360,uniform,42,42,43008,43008,0.998071,25.650854,0.852614,0.170977,0.00549031,0.00256158,0.01520258,0.98910999,0.00202096,16.03698833,0.00130472,0.00097638,0.00203143,0.21151614,0.18510349,0.00212237,0.0012621,0.00267951,0.00097052,0.00157274,0.98743807
mipnerf360_flowers,mipnerf360,random_seed000,31,31,31744,31744,0.983067,16.368181,0.371326,0.430561,0.04352143,0.02223231,0.08973023,0.90294784,0.00779366,5.85936452,0.01495919,0.01004864,0.01868378,1.64305838,1.43250903,0.01543097,0.00627301,0.01201567,0.00393118,0.01101896,0.90926396
mipnerf360_flowers,mipnerf360,random_seed001,31,31,31744,31744,0.997643,15.976073,0.344582,0.445599,0.0265808,0.0112523,0.06476656,0.95173883,0.00710642,6.25785541,0.00417539,0.0026963,0.00703642,0.40420464,0.39339227,0.00526533,0.00386478,0.00837907,0.00203654,0.00719961,0.95141724
mipnerf360_flowers,mipnerf360,random_seed002,31,31,31744,31744,0.990401,16.59837,0.379996,0.421708,0.04372559,0.02166322,0.09138794,0.95285028,0.0140779,5.91989525,0.00911229,0.00623341,0.01473121,0.87601816,0.6743498,0.01042806,0.0053121,0.01212263,0.00265995,0.01031011,0.95436666
mipnerf360_flowers,mipnerf360,random_seed003,31,31,31744,31744,0.994057,16.162481,0.363177,0.429152,0.02894669,0.01046292,0.07267376,0.91006815,0.00590789,7.82216028,0.00425312,0.00279739,0.00631227,0.45656384,0.3885272,0.00571525,0.00450209,0.00917058,0.00288109,0.00676513,0.90918562
mipnerf360_flowers,mipnerf360,random_seed004,31,31,31744,31744,0.975503,15.581346,0.339202,0.450978,0.03422264,0.01634762,0.07635909,0.99970841,0.00790977,5.76390369,0.0081411,0.0072266,0.01171236,0.74671039,0.67275181,0.00833952,0.0042392,0.0106833,0.00134557,0.00917603,0.98630652
mipnerf360_flowers,mipnerf360,uniform,31,31,31744,31744,0.997637,16.169456,0.368973,0.430901,0.03605711,0.01518664,0.08116847,0.99363029,0.01276463,6.09667688,0.010584,0.00606949,0.01033537,1.2524913,1.10153151,0.01059789,0.00420841,0.01038632,0.00119854,0.01044217,0.99468383
mipnerf360_garden,mipnerf360,random_seed000,33,33,33792,33792,0.996302,23.138044,0.731805,0.240438,0.00899698,0.0035085,0.03599599,0.94348234,0.00206339,22.9926385,0.00367338,0.00368284,0.00463915,0.3296066,0.33998399,0.00450702,0.00211355,0.00606607,0.00155539,0.00281101,0.9429207
mipnerf360_garden,mipnerf360,random_seed001,33,33,33792,33792,0.991732,22.850098,0.710128,0.251962,0.00752909,0.00296742,0.02139133,1.00358045,0.00096071,24.74276832,0.00100417,0.00088744,0.00146943,0.13349035,0.13850775,0.00588859,0.00117741,0.00379294,0.00066156,0.00169152,1.00644606
mipnerf360_garden,mipnerf360,random_seed002,33,33,33792,33792,0.997549,23.377222,0.735068,0.238062,0.00877126,0.0032929,0.02876662,0.97403157,0.00191611,23.31290436,0.00275078,0.0024988,0.00398778,0.2923017,0.2867687,0.00411794,0.00131846,0.00510191,0.00076213,0.00166079,0.97200578
mipnerf360_garden,mipnerf360,random_seed003,33,33,33792,33792,0.989827,23.087576,0.723556,0.247775,0.00686229,0.00264613,0.02521961,0.98315603,0.00103647,23.37699491,0.00202441,0.0016743,0.00330685,0.21278614,0.21436342,0.00525861,0.00103217,0.00423924,0.00057252,0.00114652,0.98249921
mipnerf360_garden,mipnerf360,random_seed004,33,33,33792,33792,0.997511,23.30559,0.717587,0.24604,0.0080842,0.00241898,0.030815,0.98861766,0.00157374,22.4919896,0.0023454,0.00211725,0.00347632,0.25819209,0.26271789,0.00323146,0.0020812,0.00551857,0.00104313,0.0035818,0.98593891
mipnerf360_garden,mipnerf360,uniform,33,33,33792,33792,0.999366,23.83798,0.742056,0.232705,0.0068508,0.00210751,0.02880092,0.99085659,0.00106883,23.28501704,0.00115283,0.00097074,0.00161506,0.13171288,0.11728361,0.00293487,0.00160683,0.00627402,0.00067511,0.00268485,0.99044684
mipnerf360_kitchen,mipnerf360,random_seed000,49,49,50176,50176,0.997003,27.281368,0.902087,0.110868,0.00520766,0.00119325,0.01814179,0.98479444,0.00217736,24.89590911,0.00256412,0.00210931,0.00415072,0.28970957,0.26483852,0.00238841,0.00127223,0.00313228,0.00083903,0.00143411,0.98358183
mipnerf360_kitchen,mipnerf360,random_seed001,49,49,50176,50176,0.998852,26.716864,0.895007,0.118891,0.00476567,0.00087339,0.02139865,0.98601902,0.00174844,26.4043606,0.00165201,0.00128773,0.00222421,0.20662391,0.20134007,0.00273996,0.00098308,0.00330015,0.00049929,0.0010354,0.98687021
mipnerf360_kitchen,mipnerf360,random_seed002,49,49,50176,50176,0.996151,27.602648,0.898774,0.115104,0.00493268,0.00112895,0.01839414,0.97031236,0.00174308,25.06609455,0.00190419,0.00125703,0.00303737,0.22066967,0.21255434,0.00229485,0.00174282,0.00326565,0.0013645,0.00192609,0.97011913
mipnerf360_kitchen,mipnerf360,random_seed003,49,49,50176,50176,0.987618,26.64579,0.889352,0.125546,0.00466921,0.00093205,0.01908581,1.0015645,0.00204968,23.84001403,0.00435047,0.00163645,0.00313881,0.23952682,0.1823612,0.0026539,0.00091019,0.00347795,0.00029525,0.00153935,1.00198795
mipnerf360_kitchen,mipnerf360,random_seed004,49,49,50176,50176,0.993128,27.606831,0.896846,0.119337,0.00637908,0.00125003,0.02152237,0.97336066,0.00224537,25.24230729,0.00213252,0.00124137,0.00294049,0.2389966,0.20826243,0.00211458,0.00172054,0.00358154,0.00125745,0.00186711,0.97230818
