scene_id,scene_key,dataset,source_group,format,depth_kind,pose_kind,eligible_frame_count,full_count,hard_subset_count,scene_root
DL3DV-ALL-480P__10K_extracted__9768df683fa3ee444847b68663c3d5a29b76b65c0ff3c554fa39086c1d9b595a,DL3DV-ALL-480P/10K_extracted/9768df683fa3ee444847b68663c3d5a29b76b65c0ff3c554fa39086c1d9b595a,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9768df683fa3ee444847b68663c3d5a29b76b65c0ff3c554fa39086c1d9b595a
DL3DV-ALL-480P__10K_extracted__9a7ca7a8a88fe13344de03c1530c00694fb357c0c39ed17bf6fada778700e5cd,DL3DV-ALL-480P/10K_extracted/9a7ca7a8a88fe13344de03c1530c00694fb357c0c39ed17bf6fada778700e5cd,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9a7ca7a8a88fe13344de03c1530c00694fb357c0c39ed17bf6fada778700e5cd
DL3DV-ALL-480P__10K_extracted__9aecb53581ecf1e7eda93a6e904c236e9398673d0ec461fa43faee019456e4d4,DL3DV-ALL-480P/10K_extracted/9aecb53581ecf1e7eda93a6e904c236e9398673d0ec461fa43faee019456e4d4,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9aecb53581ecf1e7eda93a6e904c236e9398673d0ec461fa43faee019456e4d4
DL3DV-ALL-480P__10K_extracted__9b62ee3f52f362039601de514dade5956a3b5276199f6496e9f909e5d5cf188f,DL3DV-ALL-480P/10K_extracted/9b62ee3f52f362039601de514dade5956a3b5276199f6496e9f909e5d5cf188f,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9b62ee3f52f362039601de514dade5956a3b5276199f6496e9f909e5d5cf188f
DL3DV-ALL-480P__10K_extracted__a01682b2c3a7207ff327e68172a0e216737bccc7f6abceb25529e6783f319126,DL3DV-ALL-480P/10K_extracted/a01682b2c3a7207ff327e68172a0e216737bccc7f6abceb25529e6783f319126,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a01682b2c3a7207ff327e68172a0e216737bccc7f6abceb25529e6783f319126
DL3DV-ALL-480P__10K_extracted__a2b8bf8ef41de5a38979ff141aa3f36329942802214b8e446782cea16e65f7e2,DL3DV-ALL-480P/10K_extracted/a2b8bf8ef41de5a38979ff141aa3f36329942802214b8e446782cea16e65f7e2,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a2b8bf8ef41de5a38979ff141aa3f36329942802214b8e446782cea16e65f7e2
DL3DV-ALL-480P__10K_extracted__a3172899c70869cf24df34dee93731367e561206161dccef0c1af7e74a1ad688,DL3DV-ALL-480P/10K_extracted/a3172899c70869cf24df34dee93731367e561206161dccef0c1af7e74a1ad688,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a3172899c70869cf24df34dee93731367e561206161dccef0c1af7e74a1ad688
DL3DV-ALL-480P__10K_extracted__a48925bc8ab540cb8c3875177f6c472077278235d5d8a64b8fd0a6f953347fff,DL3DV-ALL-480P/10K_extracted/a48925bc8ab540cb8c3875177f6c472077278235d5d8a64b8fd0a6f953347fff,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a48925bc8ab540cb8c3875177f6c472077278235d5d8a64b8fd0a6f953347fff
DL3DV-ALL-480P__10K_extracted__a8a3f33cff42071087e9ecc7c223ffd8bf1061c3f67544041eeea3dba7b36bc4,DL3DV-ALL-480P/10K_extracted/a8a3f33cff42071087e9ecc7c223ffd8bf1061c3f67544041eeea3dba7b36bc4,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a8a3f33cff42071087e9ecc7c223ffd8bf1061c3f67544041eeea3dba7b36bc4
DL3DV-ALL-480P__10K_extracted__a9fd4a154b08d8dbf1b873181f3221d2c5a11208ae3774c93ef5903da6a91de9,DL3DV-ALL-480P/10K_extracted/a9fd4a154b08d8dbf1b873181f3221d2c5a11208ae3774c93ef5903da6a91de9,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/a9fd4a154b08d8dbf1b873181f3221d2c5a11208ae3774c93ef5903da6a91de9
DL3DV-ALL-480P__10K_extracted__aacd0400466c5af9454fe7a26126e0591cfa355aeb93820d81c6033a2eeee4a9,DL3DV-ALL-480P/10K_extracted/aacd0400466c5af9454fe7a26126e0591cfa355aeb93820d81c6033a2eeee4a9,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/aacd0400466c5af9454fe7a26126e0591cfa355aeb93820d81c6033a2eeee4a9
DL3DV-ALL-480P__10K_extracted__abf1a7207d2ab6578cc2ed23fea23a55707e4e323c9f2cdf988186637ea970c8,DL3DV-ALL-480P/10K_extracted/abf1a7207d2ab6578cc2ed23fea23a55707e4e323c9f2cdf988186637ea970c8,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/abf1a7207d2ab6578cc2ed23fea23a55707e4e323c9f2cdf988186637ea970c8
DL3DV-ALL-480P__10K_extracted__ae1c989bc6b416e5e5d0591693e83fc4062be54c3eed6fae9f8ea9d07dc4926f,DL3DV-ALL-480P/10K_extracted/ae1c989bc6b416e5e5d0591693e83fc4062be54c3eed6fae9f8ea9d07dc4926f,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/ae1c989bc6b416e5e5d0591693e83fc4062be54c3eed6fae9f8ea9d07dc4926f
DL3DV-ALL-480P__10K_extracted__ae8baff72c36f0bca035519cf6827b25314ae0febae1c5857dcd70066239ff21,DL3DV-ALL-480P/10K_extracted/ae8baff72c36f0bca035519cf6827b25314ae0febae1c5857dcd70066239ff21,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/ae8baff72c36f0bca035519cf6827b25314ae0febae1c5857dcd70066239ff21
DL3DV-ALL-480P__10K_extracted__afadb6b8d7dff350c5ea6726737880b52ddfde45b084d2c3feb6892049e6b7c7,DL3DV-ALL-480P/10K_extracted/afadb6b8d7dff350c5ea6726737880b52ddfde45b084d2c3feb6892049e6b7c7,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/afadb6b8d7dff350c5ea6726737880b52ddfde45b084d2c3feb6892049e6b7c7
DL3DV-ALL-480P__10K_extracted__b040259c1a5b12a1bef5ded7d40249dd9531fd4221c2f38be4909333da2f3869,DL3DV-ALL-480P/10K_extracted/b040259c1a5b12a1bef5ded7d40249dd9531fd4221c2f38be4909333da2f3869,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/b040259c1a5b12a1bef5ded7d40249dd9531fd4221c2f38be4909333da2f3869
DL3DV-ALL-480P__10K_extracted__b254ff35d4593e89ffdef6933fe1416c5f2bbf6ee6e2610aec4558ea029ac8bc,DL3DV-ALL-480P/10K_extracted/b254ff35d4593e89ffdef6933fe1416c5f2bbf6ee6e2610aec4558ea029ac8bc,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/b254ff35d4593e89ffdef6933fe1416c5f2bbf6ee6e2610aec4558ea029ac8bc
DL3DV-ALL-480P__10K_extracted__b35b1d62b503a1ce7b7576764e30e73546904457963cdd6a16a0ee4ee4b34c4b,DL3DV-ALL-480P/10K_extracted/b35b1d62b503a1ce7b7576764e30e73546904457963cdd6a16a0ee4ee4b34c4b,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/b35b1d62b503a1ce7b7576764e30e73546904457963cdd6a16a0ee4ee4b34c4b
DL3DV-ALL-480P__10K_extracted__b5e4a3b1acb45c42f9dacaaa41cefe202e150525458eac37d34781ed65cb7a77,DL3DV-ALL-480P/10K_extracted/b5e4a3b1acb45c42f9dacaaa41cefe202e150525458eac37d34781ed65cb7a77,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/b5e4a3b1acb45c42f9dacaaa41cefe202e150525458eac37d34781ed65cb7a77
DL3DV-ALL-480P__10K_extracted__b5faa2a8ce980030125717352086bf9ec16c5d994bae3b3a732da3eb67cf4fa8,DL3DV-ALL-480P/10K_extracted/b5faa2a8ce980030125717352086bf9ec16c5d994bae3b3a732da3eb67cf4fa8,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/b5faa2a8ce980030125717352086bf9ec16c5d994bae3b3a732da3eb67cf4fa8
DL3DV-ALL-480P__10K_extracted__b685bfdba04b73790af9e5339bb384391847c0ab59d9bd0028077ded5a3061cd,DL3DV-ALL-480P/10K_extracted/b685bfdba04b73790af9e5339bb384391847c0ab59d9bd0028077ded5a3061cd,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/b685bfdba04b73790af9e5339bb384391847c0ab59d9bd0028077ded5a3061cd
DL3DV-ALL-480P__10K_extracted__b945a6c6a02ca66eed75438c495680775146cc829eccee23bda39e6147e8e008,DL3DV-ALL-480P/10K_extracted/b945a6c6a02ca66eed75438c495680775146cc829eccee23bda39e6147e8e008,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/b945a6c6a02ca66eed75438c495680775146cc829eccee23bda39e6147e8e008
