scene_key,dataset,source_group,format,depth_kind,pose_kind,eligible_frame_count,full_count,scene_root
DL3DV-ALL-480P/10K_extracted/976447ba2e97db48db6c5245f6d8d95e38fe5ea06e9a56e292b5cb6f50960b00,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/976447ba2e97db48db6c5245f6d8d95e38fe5ea06e9a56e292b5cb6f50960b00
DL3DV-ALL-480P/10K_extracted/9779c77917d6990177bd796c72f59d2a66018a2403406f2c0d9f0edb4e1bc098,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9779c77917d6990177bd796c72f59d2a66018a2403406f2c0d9f0edb4e1bc098
DL3DV-ALL-480P/10K_extracted/97a61765a05baff1891ef1c8adb3e7e85231d7992668f9cc2e5cf01f480aa7c4,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/97a61765a05baff1891ef1c8adb3e7e85231d7992668f9cc2e5cf01f480aa7c4
DL3DV-ALL-480P/10K_extracted/97cb739ab732aba61332c4a710605a16cf2eefcb3f9986067b26cc40db373737,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/97cb739ab732aba61332c4a710605a16cf2eefcb3f9986067b26cc40db373737
DL3DV-ALL-480P/10K_extracted/98c131f76b72886e98eb22397f22d2001e8a667cf91b89df4f61194756f6dea3,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/98c131f76b72886e98eb22397f22d2001e8a667cf91b89df4f61194756f6dea3
DL3DV-ALL-480P/10K_extracted/9921e9d5dade9ece5abc91c27eb487a2ea5b3924f299278eeab972193d4799c5,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9921e9d5dade9ece5abc91c27eb487a2ea5b3924f299278eeab972193d4799c5
DL3DV-ALL-480P/10K_extracted/996e46c8b2ee2c0cae0693eba6b08d111c0825c224c425bfea24f6b625ada7a0,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/996e46c8b2ee2c0cae0693eba6b08d111c0825c224c425bfea24f6b625ada7a0
DL3DV-ALL-480P/10K_extracted/9a9d9ad74705265cee75c018beac4ed1c144ae1debf082dc558b3353306eb732,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9a9d9ad74705265cee75c018beac4ed1c144ae1debf082dc558b3353306eb732
DL3DV-ALL-480P/10K_extracted/9aaa19b7b5382820caa99bab3292c2cbc9030bdfbb500ee4773a5d1adc307770,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9aaa19b7b5382820caa99bab3292c2cbc9030bdfbb500ee4773a5d1adc307770
DL3DV-ALL-480P/10K_extracted/9b31aaf5a9e4da1ac28b53a22029a5e0ffae7fdd867a8c671c5f565bac5d4346,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,16,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9b31aaf5a9e4da1ac28b53a22029a5e0ffae7fdd867a8c671c5f565bac5d4346
