scene_id,scene_key,dataset,split,source_group,eligible_frame_count,frame_count,scene_root
bridgedata_v2__train_00000__traj_0000,bridgedata_v2/train_00000/traj_0000,bridgedata_v2,train,bridgedata_v2:train_00000,38,38,data/processed/bridgedata_v2/train_00000/traj_0000
bridgedata_v2__train_00000__traj_0013,bridgedata_v2/train_00000/traj_0013,bridgedata_v2,train,bridgedata_v2:train_00000,19,19,data/processed/bridgedata_v2/train_00000/traj_0013
bridgedata_v2__train_00002__traj_0002,bridgedata_v2/train_00002/traj_0002,bridgedata_v2,train,bridgedata_v2:train_00002,30,30,data/processed/bridgedata_v2/train_00002/traj_0002
bridgedata_v2__train_00004__traj_0002,bridgedata_v2/train_00004/traj_0002,bridgedata_v2,train,bridgedata_v2:train_00004,49,49,data/processed/bridgedata_v2/train_00004/traj_0002
bridgedata_v2__train_00005__traj_0017,bridgedata_v2/train_00005/traj_0017,bridgedata_v2,train,bridgedata_v2:train_00005,42,42,data/processed/bridgedata_v2/train_00005/traj_0017
bridgedata_v2__train_00006__traj_0010,bridgedata_v2/train_00006/traj_0010,bridgedata_v2,train,bridgedata_v2:train_00006,32,32,data/processed/bridgedata_v2/train_00006/traj_0010
bridgedata_v2__train_00007__traj_0009,bridgedata_v2/train_00007/traj_0009,bridgedata_v2,train,bridgedata_v2:train_00007,35,35,data/processed/bridgedata_v2/train_00007/traj_0009
bridgedata_v2__train_00008__traj_0015,bridgedata_v2/train_00008/traj_0015,bridgedata_v2,train,bridgedata_v2:train_00008,41,41,data/processed/bridgedata_v2/train_00008/traj_0015
bridgedata_v2__train_00009__traj_0002,bridgedata_v2/train_00009/traj_0002,bridgedata_v2,train,bridgedata_v2:train_00009,39,39,data/processed/bridgedata_v2/train_00009/traj_0002
bridgedata_v2__train_00009__traj_0003,bridgedata_v2/train_00009/traj_0003,bridgedata_v2,train,bridgedata_v2:train_00009,39,39,data/processed/bridgedata_v2/train_00009/traj_0003
bridgedata_v2__train_00010__traj_0016,bridgedata_v2/train_00010/traj_0016,bridgedata_v2,train,bridgedata_v2:train_00010,32,32,data/processed/bridgedata_v2/train_00010/traj_0016
bridgedata_v2__train_00011__traj_0005,bridgedata_v2/train_00011/traj_0005,bridgedata_v2,train,bridgedata_v2:train_00011,21,21,data/processed/bridgedata_v2/train_00011/traj_0005
bridgedata_v2__train_00012__traj_0002,bridgedata_v2/train_00012/traj_0002,bridgedata_v2,train,bridgedata_v2:train_00012,47,47,data/processed/bridgedata_v2/train_00012/traj_0002
bridgedata_v2__train_00013__traj_0011,bridgedata_v2/train_00013/traj_0011,bridgedata_v2,train,bridgedata_v2:train_00013,31,31,data/processed/bridgedata_v2/train_00013/traj_0011
bridgedata_v2__train_00013__traj_0022,bridgedata_v2/train_00013/traj_0022,bridgedata_v2,train,bridgedata_v2:train_00013,48,48,data/processed/bridgedata_v2/train_00013/traj_0022
bridgedata_v2__train_00014__traj_0016,bridgedata_v2/train_00014/traj_0016,bridgedata_v2,train,bridgedata_v2:train_00014,32,32,data/processed/bridgedata_v2/train_00014/traj_0016
bridgedata_v2__train_00016__traj_0015,bridgedata_v2/train_00016/traj_0015,bridgedata_v2,train,bridgedata_v2:train_00016,24,24,data/processed/bridgedata_v2/train_00016/traj_0015
