scene_id,scene_key,dataset,source_group,format,depth_kind,pose_kind,eligible_frame_count,full_count,hard_subset_count,scene_root
DL3DV-ALL-480P__10K_extracted__971fb09235c6575e9065b968185a44af5b50b7abaaca1b12bfdc81eec19e19b1,DL3DV-ALL-480P/10K_extracted/971fb09235c6575e9065b968185a44af5b50b7abaaca1b12bfdc81eec19e19b1,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/971fb09235c6575e9065b968185a44af5b50b7abaaca1b12bfdc81eec19e19b1
DL3DV-ALL-480P__10K_extracted__9725175383bd86faf7a20f73b65fd2b98e52bcda91b3d8db1c02251d2189f638,DL3DV-ALL-480P/10K_extracted/9725175383bd86faf7a20f73b65fd2b98e52bcda91b3d8db1c02251d2189f638,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9725175383bd86faf7a20f73b65fd2b98e52bcda91b3d8db1c02251d2189f638
DL3DV-ALL-480P__10K_extracted__976447ba2e97db48db6c5245f6d8d95e38fe5ea06e9a56e292b5cb6f50960b00,DL3DV-ALL-480P/10K_extracted/976447ba2e97db48db6c5245f6d8d95e38fe5ea06e9a56e292b5cb6f50960b00,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/976447ba2e97db48db6c5245f6d8d95e38fe5ea06e9a56e292b5cb6f50960b00
DL3DV-ALL-480P__10K_extracted__97a61765a05baff1891ef1c8adb3e7e85231d7992668f9cc2e5cf01f480aa7c4,DL3DV-ALL-480P/10K_extracted/97a61765a05baff1891ef1c8adb3e7e85231d7992668f9cc2e5cf01f480aa7c4,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/97a61765a05baff1891ef1c8adb3e7e85231d7992668f9cc2e5cf01f480aa7c4
DL3DV-ALL-480P__10K_extracted__97c8843407a4fef145a55bbec993537718791b470dd637c5c178383e1c184048,DL3DV-ALL-480P/10K_extracted/97c8843407a4fef145a55bbec993537718791b470dd637c5c178383e1c184048,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/97c8843407a4fef145a55bbec993537718791b470dd637c5c178383e1c184048
DL3DV-ALL-480P__10K_extracted__97cb739ab732aba61332c4a710605a16cf2eefcb3f9986067b26cc40db373737,DL3DV-ALL-480P/10K_extracted/97cb739ab732aba61332c4a710605a16cf2eefcb3f9986067b26cc40db373737,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/97cb739ab732aba61332c4a710605a16cf2eefcb3f9986067b26cc40db373737
DL3DV-ALL-480P__10K_extracted__980280f0fbc1a01a3e277724d8f06509d0ab95485a9d93d03e0500aa00d07fcc,DL3DV-ALL-480P/10K_extracted/980280f0fbc1a01a3e277724d8f06509d0ab95485a9d93d03e0500aa00d07fcc,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/980280f0fbc1a01a3e277724d8f06509d0ab95485a9d93d03e0500aa00d07fcc
DL3DV-ALL-480P__10K_extracted__983e2f92b3810444651f4e5a5225c080fb581161facee3a212e79da3e084ba83,DL3DV-ALL-480P/10K_extracted/983e2f92b3810444651f4e5a5225c080fb581161facee3a212e79da3e084ba83,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/983e2f92b3810444651f4e5a5225c080fb581161facee3a212e79da3e084ba83
DL3DV-ALL-480P__10K_extracted__985cf3624c18bf24ea53f2066df172d223782d3635a724e4990254ff7eeffaed,DL3DV-ALL-480P/10K_extracted/985cf3624c18bf24ea53f2066df172d223782d3635a724e4990254ff7eeffaed,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/985cf3624c18bf24ea53f2066df172d223782d3635a724e4990254ff7eeffaed
DL3DV-ALL-480P__10K_extracted__9867fbee9dda9976003c34f3684b9d7082bc3b25b9a4de7ae434236a29ad9adf,DL3DV-ALL-480P/10K_extracted/9867fbee9dda9976003c34f3684b9d7082bc3b25b9a4de7ae434236a29ad9adf,DL3DV-ALL-480P,DL3DV-ALL-480P,nerf_transforms_images8_colmap_depth,colmap_photometric_bin,transforms_json_opengl_c2w,80,80,12,/home/m/dataset/ltm_datasets/DL3DV-ALL-480P/10K_extracted/9867fbee9dda9976003c34f3684b9d7082bc3b25b9a4de7ae434236a29ad9adf
